Date,North Tower (kWh),temp_C,Holiday,Hour,Day_of_Week,Sin_hour,Workday,Gaussian,Power-1,Prediction
2019-02-23 15:00:00,59.93,20.563333333333333,0,15,5,9.024659857791692,0,80.1935840795603,58.379,59.751367292842204
2019-02-23 16:00:00,62.121,20.366666666666667,0,16,5,7.206858488414452,0,74.26122638850534,59.93,60.9429053438135
2019-02-23 17:00:00,61.942,19.101666666666667,0,17,5,4.96606997037041,0,68.31333447086458,62.121,61.588787094779356
2019-02-23 18:00:00,65.521,17.425,0,18,5,2.455000338086137,0,62.98609869433399,61.942,63.4876087429177
2019-02-23 19:00:00,65.589,16.805,0,19,5,-0.1552251627369503,0,58.65060667319549,65.521,59.353638264873716
2019-02-23 20:00:00,60.885,16.5825,0,20,5,-2.6867239778193617,0,55.41341132946451,65.589,51.56633874453015
2019-02-23 21:00:00,56.49,16.732499999999998,0,21,5,-4.966978646412833,0,53.182380348729104,60.885,51.98590115067208
2019-02-23 22:00:00,56.497,16.77,0,22,5,-6.840593581151714,0,51.7574773449363,56.49,51.2457036818378
2019-02-23 23:00:00,55.71,16.825,0,23,5,-8.179885020528637,0,50.91176723534449,56.497,53.42013295792114
2019-02-24 00:00:00,54.967,15.62,0,0,6,-8.893582466233818,0,50.44435986152969,55.71,52.87438246359479
2019-02-24 01:00:00,51.617,15.646666666666668,0,1,6,-8.933048616783237,0,50.91176723534449,54.967,51.96305130567302
2019-02-24 02:00:00,49.655,15.495833333333332,0,2,6,-8.29559391923785,0,51.7574773449363,51.617,48.05643676159924
2019-02-24 03:00:00,49.249,14.515,0,3,6,-7.024659857791685,0,53.182380348729104,49.655,47.59149299117309
2019-02-24 04:00:00,49.731,13.116666666666667,0,4,6,-5.2068584884144515,0,55.41341132946451,49.249,46.95621346758437
2019-02-24 05:00:00,49.458,12.611666666666666,0,5,6,-2.9660699703704005,0,58.65060667319549,49.731,48.06270668609717
2019-02-24 06:00:00,47.818,10.214166666666666,0,6,6,-0.45500033808613605,0,62.98609869433399,49.458,48.08691836096887
2019-02-24 07:00:00,49.139,10.295,0,7,6,2.1552251627369516,0,68.31333447086458,47.818,57.014125297964114
2019-02-24 08:00:00,48.598,12.504166666666668,0,8,6,4.686723977819363,0,74.26122638850534,49.139,49.387634033395855
2019-02-24 09:00:00,49.665,13.825833333333334,0,9,6,6.966978646412833,0,80.1935840795603,48.598,48.913034430365435
2019-02-24 10:00:00,50.625,15.966666666666669,0,10,6,8.840593581151715,0,85.29987610338382,49.665,51.28426729543494
2019-02-24 11:00:00,52.473,16.859166666666667,0,11,6,10.17988502052864,0,88.76932937905377,50.625,50.6438725612685
2019-02-24 12:00:00,52.901,17.370833333333334,0,12,6,10.893582466233818,0,90.0,52.473,53.57544621755116
2019-02-24 13:00:00,54.551,17.971666666666668,0,13,6,10.933048616783237,0,88.76932937905377,52.901,53.807595901743696
2019-02-24 14:00:00,55.662,18.605,0,14,6,10.295593919237854,0,85.29987610338382,54.551,54.9164233404428
2019-02-24 15:00:00,56.761,19.616666666666667,0,15,6,9.024659857791692,0,80.1935840795603,55.662,55.330768671164115
2019-02-24 16:00:00,57.387,20.026666666666667,0,16,6,7.206858488414452,0,74.26122638850534,56.761,56.31839639903946
2019-02-24 17:00:00,56.882,20.010833333333338,0,17,6,4.96606997037041,0,68.31333447086458,57.387,59.65789270871547
2019-02-24 18:00:00,61.505,18.995833333333337,0,18,6,2.455000338086137,0,62.98609869433399,56.882,56.585660832704434
2019-02-24 19:00:00,62.886,19.088333333333335,0,19,6,-0.1552251627369503,0,58.65060667319549,61.505,55.53973240705777
2019-02-24 20:00:00,58.444,18.71,0,20,6,-2.6867239778193617,0,55.41341132946451,62.886,51.217591196383516
2019-02-24 21:00:00,55.385,18.136666666666667,0,21,6,-4.966978646412833,0,53.182380348729104,58.444,51.207906368327315
2019-02-24 22:00:00,53.744,17.7875,0,22,6,-6.840593581151714,0,51.7574773449363,55.385,50.21944910070438
2019-02-24 23:00:00,53.885,16.19333333333333,0,23,6,-8.179885020528637,0,50.91176723534449,53.744,50.372480744680715
2019-02-25 00:00:00,53.403,14.705,0,0,0,-8.893582466233818,1,52.22179930764846,53.885,51.9725313264395
2019-02-25 01:00:00,49.773,13.840000000000002,0,1,0,-8.933048616783237,1,54.558836176722465,53.403,50.48583155711721
2019-02-25 02:00:00,49.639,12.776666666666666,0,2,0,-8.29559391923785,1,58.78738672468148,49.773,48.26932979960063
2019-02-25 03:00:00,49.972,11.539166666666668,0,3,0,-7.024659857791685,1,65.91190174364553,49.639,48.573684773720714
2019-02-25 04:00:00,48.806,10.888333333333334,0,4,0,-5.2068584884144515,1,77.06705664732254,49.972,50.21077505078827
2019-02-25 05:00:00,56.439,10.225833333333332,0,5,0,-2.9660699703704005,1,93.25303336597746,48.806,50.872187535401316
